protein.Entry_protein.Accession,protein.Description,c1,c2,c3,r1,r2,r3,rt1,rt2,rt3,t1,t2,t3,Present_NumFiles 
TFPI2_HUMAN_P48307,Tissue factor pathway inhibitor 2 OS=Homo sapiens GN=TFPI2 PE=1 SV=1,NaN,NaN,NaN,0.0693,NaN,NaN,0.1435,0.216,0.151,NaN,NaN,NaN,4
M0R116_HUMAN_M0R116,Sodium/potassium-transporting ATPase subunit alpha OS=Homo sapiens GN=ATP1A3 PE=1 SV=1,0.0739,0.0318,0.0321,NaN,NaN,NaN,NaN,0.0211,NaN,NaN,NaN,NaN,4
ACBP_HUMAN_P07108,Acyl-CoA-binding protein OS=Homo sapiens GN=DBI PE=1 SV=2,NaN,0.0639,NaN,0.0506,0.0319,NaN,NaN,NaN,0.0549,NaN,NaN,NaN,4
H3BPZ1_HUMAN_H3BPZ1,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase OS=Homo sapiens GN=HACD3 PE=1 SV=1,NaN,0.1851,NaN,NaN,NaN,0.1555,NaN,0.2722,0.2461,NaN,NaN,NaN,4
A0A087WYU2_HUMAN_A0A087WYU2,Methyltransferase-like 26 OS=Homo sapiens GN=METTL26 PE=1 SV=1,NaN,0.0207,NaN,0.0145,NaN,0.0211,NaN,NaN,NaN,NaN,0.0208,NaN,4
NELFB_HUMAN_Q8WX92,Negative elongation factor B OS=Homo sapiens GN=NELFB PE=1 SV=1,0.0792,NaN,NaN,NaN,0.0724,0.081,NaN,NaN,NaN,0.0592,NaN,NaN,4
A16L1_HUMAN_Q676U5,Autophagy-related protein 16-1 OS=Homo sapiens GN=ATG16L1 PE=1 SV=2,NaN,NaN,NaN,0.3112,0.1873,0.0959,NaN,NaN,NaN,NaN,0.0928,NaN,4
MRCKA_HUMAN_Q5VT25,Serine/threonine-protein kinase MRCK alpha OS=Homo sapiens GN=CDC42BPA PE=1 SV=1,NaN,NaN,2.8895,NaN,NaN,1.853,NaN,0.9651,1.7754,NaN,NaN,NaN,4
TOPK_HUMAN_Q96KB5,Lymphokine-activated killer T-cell-originated protein kinase OS=Homo sapiens GN=PBK PE=1 SV=3,NaN,NaN,0.1563,0.1043,NaN,NaN,0.1353,NaN,0.1062,NaN,NaN,NaN,4
MK14_HUMAN_Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3,NaN,NaN,0.0361,NaN,NaN,NaN,0.0652,NaN,NaN,0.061,NaN,0.0387,4
A0A1B0GTU4_HUMAN_A0A1B0GTU4,Paxillin OS=Homo sapiens GN=PXN PE=1 SV=1,0.6128,NaN,0.4535,NaN,0.9292,0.5946,NaN,NaN,NaN,NaN,NaN,NaN,4
SYHC_HUMAN_P12081,Histidine--tRNA ligase_ cytoplasmic OS=Homo sapiens GN=HARS PE=1 SV=2,NaN,NaN,1.4628,NaN,1.0545,NaN,NaN,NaN,NaN,1.0973,NaN,1.0688,4
PPR21_HUMAN_Q6ZMI0,Protein phosphatase 1 regulatory subunit 21 OS=Homo sapiens GN=PPP1R21 PE=1 SV=1,0.0932,NaN,NaN,NaN,NaN,0.2199,0.2033,NaN,0.0198,NaN,NaN,NaN,4
GMDS_HUMAN_O60547,GDP-mannose 4_6 dehydratase OS=Homo sapiens GN=GMDS PE=1 SV=1,NaN,0.105,0.0844,NaN,0.0569,NaN,NaN,NaN,0.0644,NaN,NaN,NaN,4
CNTP2_HUMAN_Q9UHC6,Contactin-associated protein-like 2 OS=Homo sapiens GN=CNTNAP2 PE=1 SV=1,4.5412,0.0565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.349,0.3433,4
RAB6C_HUMAN_Q9H0N0,Ras-related protein Rab-6C OS=Homo sapiens GN=RAB6C PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,0.0289,NaN,0.0299,NaN,NaN,0.0303,0.0076,4
RANB3_HUMAN_Q9H6Z4,Ran-binding protein 3 OS=Homo sapiens GN=RANBP3 PE=1 SV=1,NaN,NaN,0.135,NaN,NaN,NaN,NaN,0.0993,NaN,0.121,NaN,0.1325,4
CP20A_HUMAN_Q6UW02,Cytochrome P450 20A1 OS=Homo sapiens GN=CYP20A1 PE=1 SV=1,0.0043,NaN,NaN,0.0614,NaN,0.1106,0.119,NaN,NaN,NaN,NaN,NaN,4
H3BRR2_HUMAN_H3BRR2,DNA-directed RNA polymerase II subunit RPB3 OS=Homo sapiens GN=POLR2C PE=1 SV=1,0.0383,NaN,NaN,NaN,NaN,NaN,0.0251,0.032,0.0226,NaN,NaN,NaN,4
Q5QP56_HUMAN_Q5QP56,Bcl-2-like protein 1 (Fragment) OS=Homo sapiens GN=BCL2L1 PE=1 SV=1,NaN,NaN,NaN,0.1225,0.0645,0.1087,NaN,NaN,0.0601,NaN,NaN,NaN,4
PKP3_HUMAN_Q9Y446,Plakophilin-3 OS=Homo sapiens GN=PKP3 PE=1 SV=1,NaN,NaN,NaN,NaN,0.0438,0.3048,NaN,0.0673,NaN,NaN,NaN,0.0269,4
A0A0J9YXP8_HUMAN_A0A0J9YXP8,Glucose-6-phosphate isomerase (Fragment) OS=Homo sapiens GN=GPI PE=1 SV=1,NaN,NaN,NaN,NaN,1.3648,NaN,NaN,1.6955,NaN,NaN,1.4568,1.141,4
E9PFQ4_HUMAN_E9PFQ4,Pleckstrin homology-like domain family B member 2 (Fragment) OS=Homo sapiens GN=PHLDB2 PE=1 SV=1,0.3763,NaN,0.3279,NaN,0.2135,NaN,0.1398,NaN,NaN,NaN,NaN,NaN,4
EPHB1_HUMAN_P54762,Ephrin type-B receptor 1 OS=Homo sapiens GN=EPHB1 PE=1 SV=1,NaN,0.833,NaN,0.0179,NaN,0.0547,NaN,NaN,NaN,NaN,NaN,0.1323,4
PIAS3_HUMAN_Q9Y6X2,E3 SUMO-protein ligase PIAS3 OS=Homo sapiens GN=PIAS3 PE=1 SV=2,0.8509,1.6772,NaN,NaN,NaN,1.227,NaN,NaN,NaN,NaN,1.1464,NaN,4
CSPP1_HUMAN_Q1MSJ5,Centrosome and spindle pole-associated protein 1 OS=Homo sapiens GN=CSPP1 PE=1 SV=4,NaN,NaN,0.0441,0.0369,0.0124,0.0119,NaN,NaN,NaN,NaN,NaN,NaN,4
RB6I2_HUMAN_Q8IUD2,ELKS/Rab6-interacting/CAST family member 1 OS=Homo sapiens GN=ERC1 PE=1 SV=1,NaN,NaN,NaN,NaN,0.3061,NaN,NaN,NaN,4.2007,1.6474,2.3703,NaN,4
CHM1B_HUMAN_Q7LBR1,Charged multivesicular body protein 1b OS=Homo sapiens GN=CHMP1B PE=1 SV=1,NaN,NaN,NaN,0.1221,NaN,NaN,NaN,NaN,0.1926,0.1838,0.1708,NaN,4
ERCC2_HUMAN_P18074,TFIIH basal transcription factor complex helicase XPD subunit OS=Homo sapiens GN=ERCC2 PE=1 SV=1,NaN,NaN,NaN,0.1896,0.1854,0.2196,NaN,NaN,0.041,NaN,NaN,NaN,4
PMFBP_HUMAN_Q8TBY8,Polyamine-modulated factor 1-binding protein 1 OS=Homo sapiens GN=PMFBP1 PE=2 SV=1,NaN,NaN,0.182,NaN,NaN,NaN,NaN,0.3078,NaN,0.2176,0.0874,NaN,4
TMTC3_HUMAN_Q6ZXV5,Transmembrane and TPR repeat-containing protein 3 OS=Homo sapiens GN=TMTC3 PE=1 SV=2,NaN,NaN,0.5187,0.1373,NaN,1.3067,0.9956,NaN,NaN,NaN,NaN,NaN,4
PMM2_HUMAN_O15305,Phosphomannomutase 2 OS=Homo sapiens GN=PMM2 PE=1 SV=1,0.1747,0.0932,NaN,NaN,NaN,NaN,0.1413,0.1472,NaN,NaN,NaN,NaN,4
TRI33_HUMAN_Q9UPN9,E3 ubiquitin-protein ligase TRIM33 OS=Homo sapiens GN=TRIM33 PE=1 SV=3,NaN,0.0975,NaN,NaN,NaN,0.0887,0.1943,1.3,NaN,NaN,NaN,NaN,4
PAP1L_HUMAN_Q4VXU2,Polyadenylate-binding protein 1-like OS=Homo sapiens GN=PABPC1L PE=2 SV=1,NaN,NaN,NaN,NaN,0.0131,NaN,NaN,NaN,1.0516,0.7153,NaN,0.7359,4
EPHA7_HUMAN_Q15375,Ephrin type-A receptor 7 OS=Homo sapiens GN=EPHA7 PE=1 SV=3,NaN,0.1703,NaN,0.0071,0.0388,0.6604,NaN,NaN,NaN,NaN,NaN,NaN,4
BAZ1A_HUMAN_Q9NRL2,Bromodomain adjacent to zinc finger domain protein 1A OS=Homo sapiens GN=BAZ1A PE=1 SV=2,NaN,NaN,NaN,0.1113,0.081,NaN,0.3783,NaN,0.3238,NaN,NaN,NaN,4
A0A1B0GVP4_HUMAN_A0A1B0GVP4,Ligand-dependent nuclear receptor corepressor-like protein OS=Homo sapiens GN=LCORL PE=1 SV=1,0.9145,NaN,1.4288,NaN,0.1968,NaN,NaN,1.1866,NaN,NaN,NaN,NaN,4
TXLNB_HUMAN_Q8N3L3,Beta-taxilin OS=Homo sapiens GN=TXLNB PE=1 SV=3,NaN,NaN,0.0734,NaN,NaN,NaN,0.0722,0.0738,NaN,NaN,NaN,0.0359,4
CNDG2_HUMAN_Q86XI2,Condensin-2 complex subunit G2 OS=Homo sapiens GN=NCAPG2 PE=1 SV=1,NaN,NaN,NaN,NaN,0.3455,0.2676,NaN,NaN,NaN,1.1195,0.3199,NaN,4
F5GXJ9_HUMAN_F5GXJ9,CD166 antigen OS=Homo sapiens GN=ALCAM PE=1 SV=1,NaN,1.5028,NaN,NaN,1.1443,NaN,NaN,0.6326,0.5188,NaN,NaN,NaN,4
HSP76_HUMAN_P17066,Heat shock 70 kDa protein 6 OS=Homo sapiens GN=HSPA6 PE=1 SV=2,NaN,NaN,5.5854,NaN,0.9676,NaN,NaN,5.6469,4.5328,NaN,NaN,NaN,4
VAV2_HUMAN_P52735,Guanine nucleotide exchange factor VAV2 OS=Homo sapiens GN=VAV2 PE=1 SV=2,NaN,0.2552,0.2206,0.1809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2705,4
DDX27_HUMAN_Q96GQ7,Probable ATP-dependent RNA helicase DDX27 OS=Homo sapiens GN=DDX27 PE=1 SV=2,NaN,0.7006,NaN,NaN,NaN,NaN,NaN,0.4371,0.3121,0.3233,NaN,NaN,4
E9PEJ4_HUMAN_E9PEJ4,Acetyltransferase component of pyruvate dehydrogenase complex OS=Homo sapiens GN=DLAT PE=1 SV=1,NaN,0.3121,NaN,NaN,0.3283,0.2966,NaN,NaN,0.2079,NaN,NaN,NaN,4
UBP48_HUMAN_Q86UV5,Ubiquitin carboxyl-terminal hydrolase 48 OS=Homo sapiens GN=USP48 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,0.1339,NaN,NaN,2.8432,0.1149,0.0712,NaN,4
CC50A_HUMAN_Q9NV96,Cell cycle control protein 50A OS=Homo sapiens GN=TMEM30A PE=1 SV=1,0.0629,0.0519,NaN,NaN,NaN,0.0399,NaN,NaN,0.0353,NaN,NaN,NaN,4
DEP1A_HUMAN_Q5TB30,DEP domain-containing protein 1A OS=Homo sapiens GN=DEPDC1 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,1.2099,NaN,NaN,NaN,2.9153,1.8537,1.3333,4
LDH6A_HUMAN_Q6ZMR3,L-lactate dehydrogenase A-like 6A OS=Homo sapiens GN=LDHAL6A PE=2 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0051,0.1267,NaN,0.0354,0.0018,4
M0QXM4_HUMAN_M0QXM4,Amino acid transporter OS=Homo sapiens GN=SLC1A5 PE=1 SV=1,0.8288,NaN,0.6864,NaN,NaN,NaN,NaN,0.5951,NaN,0.5293,NaN,NaN,4
E9PIA8_HUMAN_E9PIA8,Palmitoyl-protein thioesterase 1 (Fragment) OS=Homo sapiens GN=PPT1 PE=1 SV=9,NaN,0.204,0.2441,0.1569,NaN,0.153,NaN,NaN,NaN,NaN,NaN,NaN,4
E9PNW5_HUMAN_E9PNW5,Uncharacterized protein C4orf50 OS=Homo sapiens GN=C4orf50 PE=4 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1614,0.3055,1.674,0.0419,4
AATF_HUMAN_Q9NY61,Protein AATF OS=Homo sapiens GN=AATF PE=1 SV=1,NaN,NaN,0.2576,NaN,NaN,NaN,NaN,NaN,NaN,0.1933,0.2551,0.4596,4
F8W9U4_HUMAN_F8W9U4,Microtubule-associated protein OS=Homo sapiens GN=MAP4 PE=1 SV=1,NaN,0.2115,NaN,0.4329,NaN,1.3516,NaN,NaN,NaN,3.5006,NaN,NaN,4
AR6P4_HUMAN_Q66PJ3,ADP-ribosylation factor-like protein 6-interacting protein 4 OS=Homo sapiens GN=ARL6IP4 PE=1 SV=2,NaN,0.0806,0.0599,0.0542,0.0632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
Q5T6H7_HUMAN_Q5T6H7,Xaa-Pro aminopeptidase 1 OS=Homo sapiens GN=XPNPEP1 PE=1 SV=1,NaN,NaN,0.4152,NaN,NaN,NaN,0.3568,0.2137,0.19,NaN,NaN,NaN,4
K2C74_HUMAN_Q7RTS7,Keratin_ type II cytoskeletal 74 OS=Homo sapiens GN=KRT74 PE=1 SV=2,NaN,NaN,0.1905,0.02,NaN,0.1434,0.029,NaN,NaN,NaN,NaN,NaN,4
NKRF_HUMAN_O15226,NF-kappa-B-repressing factor OS=Homo sapiens GN=NKRF PE=1 SV=2,NaN,NaN,NaN,3.8473,NaN,NaN,NaN,4.579,0.1036,0.0414,NaN,NaN,4
F5H3S6_HUMAN_F5H3S6,TOM1-like protein 2 OS=Homo sapiens GN=TOM1L2 PE=1 SV=1,0.0753,NaN,NaN,0.0525,0.2134,NaN,0.0627,NaN,NaN,NaN,NaN,NaN,4
CIAO1_HUMAN_O76071,Probable cytosolic iron-sulfur protein assembly protein CIAO1 OS=Homo sapiens GN=CIAO1 PE=1 SV=1,0.0654,0.0733,NaN,NaN,NaN,NaN,NaN,0.0493,NaN,NaN,0.0566,NaN,4
CAPS1_HUMAN_Q9ULU8,Calcium-dependent secretion activator 1 OS=Homo sapiens GN=CADPS PE=1 SV=3,NaN,NaN,NaN,NaN,0.1549,0.0556,NaN,1.3421,0.776,NaN,NaN,NaN,4
CRTAP_HUMAN_O75718,Cartilage-associated protein OS=Homo sapiens GN=CRTAP PE=1 SV=1,NaN,NaN,NaN,NaN,0.0301,NaN,0.136,0.2593,0.2314,NaN,NaN,NaN,4
AFG32_HUMAN_Q9Y4W6,AFG3-like protein 2 OS=Homo sapiens GN=AFG3L2 PE=1 SV=2,NaN,NaN,NaN,0.0778,NaN,0.067,NaN,NaN,0.3678,0.0964,NaN,NaN,4
4F2_HUMAN_P08195,4F2 cell-surface antigen heavy chain OS=Homo sapiens GN=SLC3A2 PE=1 SV=3,NaN,NaN,1.4978,NaN,NaN,1.3802,1.3361,NaN,NaN,NaN,NaN,1.1137,4
TUT4_HUMAN_Q5TAX3,Terminal uridylyltransferase 4 OS=Homo sapiens GN=ZCCHC11 PE=1 SV=3,NaN,1.2704,NaN,NaN,0.1728,1.4497,NaN,0.0581,NaN,NaN,NaN,NaN,4
NHLC2_HUMAN_Q8NBF2,NHL repeat-containing protein 2 OS=Homo sapiens GN=NHLRC2 PE=1 SV=1,NaN,NaN,NaN,0.1264,NaN,0.2654,NaN,NaN,0.4092,0.3206,NaN,NaN,4
F8W9X7_HUMAN_F8W9X7,Coiled-coil domain-containing protein 93 OS=Homo sapiens GN=CCDC93 PE=1 SV=1,NaN,NaN,NaN,0.2029,0.0824,0.1006,NaN,NaN,NaN,0.1354,NaN,NaN,4
A0A087WTA1_HUMAN_A0A087WTA1,Contactin-associated protein-like 4 OS=Homo sapiens GN=CNTNAP4 PE=1 SV=1,NaN,3.4894,NaN,NaN,NaN,0.1847,NaN,NaN,NaN,0.0478,0.9256,NaN,4
VP37A_HUMAN_Q8NEZ2,Vacuolar protein sorting-associated protein 37A OS=Homo sapiens GN=VPS37A PE=1 SV=1,NaN,NaN,NaN,0.122,0.0689,NaN,NaN,0.2558,NaN,0.0621,NaN,NaN,4
ATRIP_HUMAN_Q8WXE1,ATR-interacting protein OS=Homo sapiens GN=ATRIP PE=1 SV=1,0.5366,0.2038,NaN,0.2248,1.1841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
1B67_HUMAN_Q29836,HLA class I histocompatibility antigen_ B-67 alpha chain OS=Homo sapiens GN=HLA-B PE=1 SV=1,NaN,NaN,NaN,NaN,0.052,0.1835,NaN,NaN,NaN,0.5042,0.0213,NaN,4
K7EK43_HUMAN_K7EK43,Tubulin beta-6 chain (Fragment) OS=Homo sapiens GN=TUBB6 PE=1 SV=1,0.0288,NaN,0.0216,NaN,NaN,NaN,NaN,0.0209,NaN,NaN,0.0186,NaN,4
NRP1_HUMAN_O14786,Neuropilin-1 OS=Homo sapiens GN=NRP1 PE=1 SV=3,NaN,NaN,NaN,0.1058,0.103,NaN,0.1756,NaN,NaN,NaN,0.0196,NaN,4
DYM_HUMAN_Q7RTS9,Dymeclin OS=Homo sapiens GN=DYM PE=1 SV=1,NaN,0.5367,NaN,NaN,NaN,NaN,NaN,0.2556,NaN,NaN,0.2307,0.2154,4
G3V3A5_HUMAN_G3V3A5,Tetratricopeptide repeat protein 6 OS=Homo sapiens GN=TTC6 PE=1 SV=1,0.2273,NaN,NaN,NaN,NaN,0.1424,NaN,0.0967,NaN,1.874,NaN,NaN,4
NEK9_HUMAN_Q8TD19,Serine/threonine-protein kinase Nek9 OS=Homo sapiens GN=NEK9 PE=1 SV=2,0.1249,NaN,0.1353,NaN,NaN,0.1724,NaN,0.2607,NaN,NaN,NaN,NaN,4
J3KN75_HUMAN_J3KN75,TBC1 domain family member 8B OS=Homo sapiens GN=TBC1D8B PE=1 SV=1,NaN,0.0056,NaN,0.0088,NaN,NaN,0.2103,NaN,NaN,NaN,4.5014,NaN,4
A0A0A0MR33_HUMAN_A0A0A0MR33,Maleylacetoacetate isomerase OS=Homo sapiens GN=GSTZ1 PE=1 SV=1,NaN,0.0745,NaN,NaN,0.058,NaN,NaN,0.0497,NaN,NaN,0.0979,NaN,4
RBM15_HUMAN_Q96T37,Putative RNA-binding protein 15 OS=Homo sapiens GN=RBM15 PE=1 SV=2,0.1288,0.1761,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0876,NaN,0.1187,4
RFC5_HUMAN_P40937,Replication factor C subunit 5 OS=Homo sapiens GN=RFC5 PE=1 SV=1,NaN,NaN,0.0355,0.1073,NaN,NaN,0.1404,0.0914,NaN,NaN,NaN,NaN,4
H3BV80_HUMAN_H3BV80,RNA-binding protein with serine-rich domain 1 OS=Homo sapiens GN=RNPS1 PE=1 SV=2,NaN,NaN,0.1232,0.1828,NaN,NaN,NaN,0.1479,NaN,NaN,NaN,0.0889,4
G3V4V5_HUMAN_G3V4V5,E3 ubiquitin-protein ligase HECTD1 (Fragment) OS=Homo sapiens GN=HECTD1 PE=1 SV=1,NaN,NaN,0.5865,NaN,NaN,0.0891,NaN,0.1616,NaN,0.2242,NaN,NaN,4
RPTOR_HUMAN_Q8N122,Regulatory-associated protein of mTOR OS=Homo sapiens GN=RPTOR PE=1 SV=1,NaN,0.1704,0.1966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0531,0.2103,4
SHLB2_HUMAN_Q9NR46,Endophilin-B2 OS=Homo sapiens GN=SH3GLB2 PE=1 SV=1,NaN,NaN,NaN,0.0702,NaN,NaN,0.0941,0.0355,0.0498,NaN,NaN,NaN,4
ARFG1_HUMAN_Q8N6T3,ADP-ribosylation factor GTPase-activating protein 1 OS=Homo sapiens GN=ARFGAP1 PE=1 SV=2,0.5271,NaN,NaN,0.2693,NaN,0.3354,NaN,0.459,NaN,NaN,NaN,NaN,4
URFB1_HUMAN_Q6BDS2,UHRF1-binding protein 1 OS=Homo sapiens GN=UHRF1BP1 PE=1 SV=1,NaN,1.4239,NaN,NaN,11.0398,11.1895,11.1873,NaN,NaN,NaN,NaN,NaN,4
G8JLH9_HUMAN_G8JLH9,Signal transducer and activator of transcription OS=Homo sapiens GN=STAT3 PE=1 SV=1,1.2779,1.075,1.2001,NaN,NaN,NaN,NaN,NaN,0.6454,NaN,NaN,NaN,4
G45IP_HUMAN_Q8TAE8,Growth arrest and DNA damage-inducible proteins-interacting protein 1 OS=Homo sapiens GN=GADD45GIP1 PE=1 SV=1,0.1699,NaN,NaN,0.0645,0.1061,NaN,NaN,NaN,NaN,NaN,NaN,0.0563,4
MYO5C_HUMAN_Q9NQX4,Unconventional myosin-Vc OS=Homo sapiens GN=MYO5C PE=1 SV=2,NaN,NaN,0.0772,0.6468,NaN,0.1898,NaN,NaN,NaN,NaN,NaN,0.2042,4
SUCB1_HUMAN_Q9P2R7,Succinate--CoA ligase [ADP-forming] subunit beta_ mitochondrial OS=Homo sapiens GN=SUCLA2 PE=1 SV=3,NaN,NaN,0.3173,NaN,NaN,0.1251,0.2004,NaN,NaN,0.2282,NaN,NaN,4
K2026_HUMAN_Q5HYC2,Uncharacterized protein KIAA2026 OS=Homo sapiens GN=KIAA2026 PE=2 SV=2,3.8556,2.9391,NaN,1.8315,NaN,NaN,NaN,NaN,NaN,0.219,NaN,NaN,4
STRN_HUMAN_O43815,Striatin OS=Homo sapiens GN=STRN PE=1 SV=4,NaN,NaN,0.1214,0.11,NaN,NaN,0.1148,NaN,NaN,0.1044,NaN,NaN,4
IPP2_HUMAN_P41236,Protein phosphatase inhibitor 2 OS=Homo sapiens GN=PPP1R2 PE=1 SV=2,0.0996,0.071,NaN,NaN,NaN,NaN,0.0649,NaN,NaN,NaN,NaN,0.0753,4
SPG7_HUMAN_Q9UQ90,Paraplegin OS=Homo sapiens GN=SPG7 PE=1 SV=2,NaN,NaN,0.0367,0.0439,NaN,NaN,NaN,0.0908,NaN,NaN,NaN,0.0939,4
E9PL24_HUMAN_E9PL24,Myomegalin OS=Homo sapiens GN=PDE4DIP PE=1 SV=2,NaN,NaN,0.6187,NaN,NaN,0.1261,NaN,NaN,NaN,0.1464,0.1281,NaN,4
I2BPL_HUMAN_Q9H1B7,Interferon regulatory factor 2-binding protein-like OS=Homo sapiens GN=IRF2BPL PE=1 SV=1,NaN,NaN,NaN,0.112,0.0535,NaN,0.1144,1.2106,NaN,NaN,NaN,NaN,4
RAP1A_HUMAN_P62834,Ras-related protein Rap-1A OS=Homo sapiens GN=RAP1A PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,0.0174,NaN,NaN,0.2206,0.2106,0.1734,4
INT8_HUMAN_Q75QN2,Integrator complex subunit 8 OS=Homo sapiens GN=INTS8 PE=1 SV=1,NaN,NaN,NaN,NaN,1.0477,NaN,0.043,NaN,NaN,1.1486,NaN,1.6124,4
SMAL1_HUMAN_Q9NZC9,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 OS=Homo sapiens GN=SMARCAL1 PE=1 SV=1,NaN,NaN,0.1069,0.0547,0.0794,NaN,NaN,NaN,NaN,NaN,NaN,0.0656,4
E5RIH5_HUMAN_E5RIH5,TELO2-interacting protein 2 OS=Homo sapiens GN=TTI2 PE=1 SV=1,NaN,0.0917,NaN,NaN,NaN,NaN,0.0633,NaN,NaN,0.0822,0.348,NaN,4
PKHA5_HUMAN_Q9HAU0,Pleckstrin homology domain-containing family A member 5 OS=Homo sapiens GN=PLEKHA5 PE=1 SV=1,NaN,NaN,0.0418,NaN,0.1291,0.4188,0.6786,NaN,NaN,NaN,NaN,NaN,4
PKH4B_HUMAN_Q96PX9,Pleckstrin homology domain-containing family G member 4B OS=Homo sapiens GN=PLEKHG4B PE=1 SV=4,NaN,3.3374,NaN,2.9252,NaN,NaN,NaN,NaN,7.4724,NaN,NaN,1.9612,4
IFIT5_HUMAN_Q13325,Interferon-induced protein with tetratricopeptide repeats 5 OS=Homo sapiens GN=IFIT5 PE=1 SV=1,0.0673,NaN,0.2867,NaN,NaN,0.2341,NaN,NaN,0.2566,NaN,NaN,NaN,4
A0A0A0MRG8_HUMAN_A0A0A0MRG8,Bcl-2 homologous antagonist/killer OS=Homo sapiens GN=BAK1 PE=1 SV=1,NaN,NaN,NaN,0.0782,0.0593,0.0253,NaN,NaN,NaN,0.0268,NaN,NaN,4
M0R208_HUMAN_M0R208,ATP-dependent Clp protease proteolytic subunit OS=Homo sapiens GN=CLPP PE=1 SV=1,0.1029,NaN,NaN,0.0603,NaN,NaN,NaN,0.5542,0.0901,NaN,NaN,NaN,4
CASP4_HUMAN_P49662,Caspase-4 OS=Homo sapiens GN=CASP4 PE=1 SV=1,NaN,NaN,0.0024,0.0973,0.1086,NaN,NaN,NaN,0.0949,NaN,NaN,NaN,4
TRPM3_HUMAN_Q9HCF6,Transient receptor potential cation channel subfamily M member 3 OS=Homo sapiens GN=TRPM3 PE=2 SV=4,0.1722,NaN,NaN,0.1163,NaN,NaN,0.9964,NaN,NaN,NaN,NaN,0.2825,4
CTR9_HUMAN_Q6PD62,RNA polymerase-associated protein CTR9 homolog OS=Homo sapiens GN=CTR9 PE=1 SV=1,NaN,NaN,NaN,NaN,0.1358,0.2358,NaN,NaN,NaN,0.0893,0.2923,NaN,4
ANR44_HUMAN_Q8N8A2,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B OS=Homo sapiens GN=ANKRD44 PE=1 SV=3,0.0189,NaN,NaN,0.2175,0.0643,NaN,NaN,NaN,NaN,NaN,0.0625,NaN,4
FHAD1_HUMAN_B1AJZ9,Forkhead-associated domain-containing protein 1 OS=Homo sapiens GN=FHAD1 PE=2 SV=2,3.8061,NaN,5.9195,NaN,NaN,NaN,0.0103,NaN,NaN,NaN,NaN,0.0742,4
STXB3_HUMAN_O00186,Syntaxin-binding protein 3 OS=Homo sapiens GN=STXBP3 PE=1 SV=2,NaN,0.1363,NaN,NaN,NaN,0.1591,NaN,NaN,NaN,NaN,0.0686,0.0501,4
PRPK_HUMAN_Q96S44,TP53-regulating kinase OS=Homo sapiens GN=TP53RK PE=1 SV=2,0.1836,NaN,NaN,0.0335,NaN,NaN,NaN,0.1575,NaN,NaN,NaN,0.2644,4
NUF2_HUMAN_Q9BZD4,Kinetochore protein Nuf2 OS=Homo sapiens GN=NUF2 PE=1 SV=2,0.2024,NaN,NaN,0.1993,NaN,NaN,0.0522,NaN,NaN,NaN,NaN,0.0717,4
CHCH2_HUMAN_Q9Y6H1,Coiled-coil-helix-coiled-coil-helix domain-containing protein 2 OS=Homo sapiens GN=CHCHD2 PE=1 SV=1,0.0412,0.0326,NaN,0.0283,NaN,NaN,NaN,NaN,NaN,0.0226,NaN,NaN,4
ZHX3_HUMAN_Q9H4I2,Zinc fingers and homeoboxes protein 3 OS=Homo sapiens GN=ZHX3 PE=1 SV=3,1.7217,NaN,0.64,NaN,0.2394,NaN,NaN,NaN,NaN,NaN,0.8754,NaN,4
IF1AX_HUMAN_P47813,Eukaryotic translation initiation factor 1A_ X-chromosomal OS=Homo sapiens GN=EIF1AX PE=1 SV=2,0.2499,NaN,NaN,0.1959,NaN,NaN,NaN,NaN,NaN,NaN,0.1476,0.1457,4
H0YN18_HUMAN_H0YN18,Proteasome endopeptidase complex OS=Homo sapiens GN=PSMA4 PE=1 SV=1,NaN,0.5929,NaN,0.421,NaN,NaN,NaN,NaN,0.3409,NaN,0.5145,NaN,4
TFP11_HUMAN_Q9UBB9,Tuftelin-interacting protein 11 OS=Homo sapiens GN=TFIP11 PE=1 SV=1,0.3148,NaN,NaN,0.024,0.0267,0.04,NaN,NaN,NaN,NaN,NaN,NaN,4
