protein.Accession,protein.Description,protein.fmolOnColumn -> 1+TGFB+1+to+12_IA_final_protein,protein.ngramOnColumn -> 1+TGFB+1+to+12_IA_final_protein,protein.fmolOnColumn -> 2+None+1+to+12_IA_final_protein,protein.ngramOnColumn -> 2+None+1+to+12_IA_final_protein,protein.fmolOnColumn -> LW_120613_1NONE_REPEAT_001_IA_final_protein,protein.ngramOnColumn -> LW_120613_1NONE_REPEAT_001_IA_final_protein,protein.fmolOnColumn -> LW_290513_2TGFB_001_IA_final_protein,protein.ngramOnColumn -> LW_290513_2TGFB_001_IA_final_protein,protein.fmolOnColumn -> LW_290513_3NONE_001_IA_final_protein,protein.ngramOnColumn -> LW_290513_3NONE_001_IA_final_protein,protein.fmolOnColumn -> LW_290513_3TGFB_001_IA_final_protein,protein.ngramOnColumn -> LW_290513_3TGFB_001_IA_final_protein,Present_NumFiles
Q96K76,Ubiquitin carboxyl-terminal hydrolase 47 OS=Homo sapiens GN=USP47 PE=1 SV=3,18.8305,2.988,34.2112,5.4286,22.0454,3.4982,NaN,NaN,183.1346,29.0598,NaN,NaN,4
Q9NQ39,Putative 40S ribosomal protein S10-like OS=Homo sapiens GN=RPS10P5 PE=5 SV=1,3.4406,0.0698,0.9804,0.0199,NaN,NaN,0.6252,0.0127,2.8722,0.0583,NaN,NaN,4
Q9NVH1,DnaJ homolog subfamily C member 11 OS=Homo sapiens GN=DNAJC11 PE=1 SV=2,10.8071,0.6869,NaN,NaN,3.0402,0.1932,15.5505,0.9884,NaN,NaN,12.5468,0.7975,4
O15031,Plexin-B2 OS=Homo sapiens GN=PLXNB2 PE=1 SV=3,70.5806,14.6712,NaN,NaN,NaN,NaN,26.1996,5.446,129.969,27.016,65.3961,13.5935,4
P06753,Tropomyosin alpha-3 chain OS=Homo sapiens GN=TPM3 PE=1 SV=1,163.7296,5.3828,NaN,NaN,226.7392,7.4542,NaN,NaN,299.6281,9.8505,107.4811,3.5335,4
Q12904,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Homo sapiens GN=AIMP1 PE=1 SV=2,NaN,NaN,73.0834,2.5315,NaN,NaN,108.0738,3.7434,217.6422,7.5387,62.8745,2.1778,4
P38405,Guanine nucleotide-binding protein G(olf) subunit alpha OS=Homo sapiens GN=GNAL PE=1 SV=1,7.621,0.3416,3.3486,0.1501,NaN,NaN,9.1334,0.4094,22.6985,1.0174,NaN,NaN,4
Q9P032,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4 OS=Homo sapiens GN=NDUFAF4 PE=1 SV=1,59.2325,1.2038,NaN,NaN,NaN,NaN,12.1234,0.2464,586.0175,11.9099,13.1573,0.2674,4
Q13228,Selenium-binding protein 1 OS=Homo sapiens GN=SELENBP1 PE=1 SV=2,43.0293,2.2789,NaN,NaN,22.5352,1.1935,17.9093,0.9485,NaN,NaN,8.25,0.4369,4
Q9UBI6,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12 OS=Homo sapiens GN=GNG12 PE=1 SV=3,135.3852,1.0994,54.085,0.4392,NaN,NaN,40.1609,0.3261,NaN,NaN,55.9305,0.4542,4
Q15052,Rho guanine nucleotide exchange factor 6 OS=Homo sapiens GN=ARHGEF6 PE=1 SV=2,NaN,NaN,14.6089,1.2966,NaN,NaN,6.1008,0.5415,58.6021,5.2011,216.7524,19.2376,4
Q12873,Chromodomain-helicase-DNA-binding protein 3 OS=Homo sapiens GN=CHD3 PE=1 SV=3,257.3715,58.7146,NaN,NaN,NaN,NaN,18.494,4.2191,108.3336,24.7143,19.0988,4.357,4
Q9HBI1,Beta-parvin OS=Homo sapiens GN=PARVB PE=1 SV=1,13.48,0.5631,22.673,0.9471,32.1316,1.3422,NaN,NaN,16.3898,0.6846,NaN,NaN,4
P09622,Dihydrolipoyl dehydrogenase_ mitochondrial OS=Homo sapiens GN=DLD PE=1 SV=2,129.907,7.1121,40.4795,2.2162,NaN,NaN,NaN,NaN,224.6965,12.3016,48.8955,2.6769,4
P78386,Keratin_ type II cuticular Hb5 OS=Homo sapiens GN=KRT85 PE=1 SV=1,28.5571,1.6375,1.3373,0.0767,NaN,NaN,9.4804,0.5436,NaN,NaN,2.1741,0.1247,4
P78385,Keratin_ type II cuticular Hb3 OS=Homo sapiens GN=KRT83 PE=1 SV=2,3.4191,0.1913,2.0683,0.1157,NaN,NaN,2.0167,0.1129,12.4627,0.6975,NaN,NaN,4
Q86W42,THO complex subunit 6 homolog OS=Homo sapiens GN=THOC6 PE=1 SV=1,30.8478,1.1755,3.8153,0.1454,NaN,NaN,18.8021,0.7165,76.7419,2.9243,NaN,NaN,4
O15213,WD repeat-containing protein 46 OS=Homo sapiens GN=WDR46 PE=1 SV=3,30.1441,2.0657,9.0776,0.6221,NaN,NaN,17.3542,1.1892,NaN,NaN,15.6136,1.07,4
Q9H3N1,Thioredoxin-related transmembrane protein 1 OS=Homo sapiens GN=TMX1 PE=1 SV=1,NaN,NaN,41.3584,1.3313,30.7645,0.9903,31.1027,1.0012,NaN,NaN,42.8646,1.3798,4
Q9Y385,Ubiquitin-conjugating enzyme E2 J1 OS=Homo sapiens GN=UBE2J1 PE=1 SV=2,17.3467,0.6145,5.9527,0.2109,NaN,NaN,6.4733,0.2293,NaN,NaN,7.7899,0.276,4
Q14232,Translation initiation factor eIF-2B subunit alpha OS=Homo sapiens GN=EIF2B1 PE=1 SV=1,37.5939,1.2781,NaN,NaN,NaN,NaN,22.4584,0.7635,122.0948,4.1509,4.7004,0.1598,4
O75879,Glutamyl-tRNA(Gln) amidotransferase subunit B_ mitochondrial OS=Homo sapiens GN=PET112 PE=1 SV=1,30.4377,1.8969,NaN,NaN,10.8515,0.6763,NaN,NaN,60.3605,3.7617,18.9032,1.1781,4
P53582,Methionine aminopeptidase 1 OS=Homo sapiens GN=METAP1 PE=1 SV=2,42.5915,1.8795,NaN,NaN,41.8213,1.8455,NaN,NaN,67.4893,2.9781,15.205,0.671,4
Q9Y4R8,Telomere length regulation protein TEL2 homolog OS=Homo sapiens GN=TELO2 PE=1 SV=2,39.8811,3.6885,NaN,NaN,39.053,3.612,20.2201,1.8701,NaN,NaN,14.487,1.3399,4
Q6P2C8,Mediator of RNA polymerase II transcription subunit 27 OS=Homo sapiens GN=MED27 PE=1 SV=1,23.9474,0.854,NaN,NaN,117.0704,4.1747,12.1466,0.4331,135.6487,4.8372,NaN,NaN,4
Q5HYI8,Rab-like protein 3 OS=Homo sapiens GN=RABL3 PE=1 SV=1,51.8692,1.3794,16.1638,0.4299,NaN,NaN,14.1289,0.3757,NaN,NaN,7.7432,0.2059,4
P08579,U2 small nuclear ribonucleoprotein B'' OS=Homo sapiens GN=SNRPB2 PE=1 SV=1,NaN,NaN,3.6468,0.0929,NaN,NaN,10.1866,0.2596,142.384,3.6289,32.2791,0.8227,4
Q96P11,Putative methyltransferase NSUN5 OS=Homo sapiens GN=NSUN5 PE=1 SV=2,21.6732,1.0256,NaN,NaN,NaN,NaN,12.9855,0.6145,51.4261,2.4334,43.0368,2.0365,4
Q15428,Splicing factor 3A subunit 2 OS=Homo sapiens GN=SF3A2 PE=1 SV=2,295.2223,14.575,20.4817,1.0112,NaN,NaN,NaN,NaN,195.5743,9.6554,41.1835,2.0332,4
Q9Y320,Thioredoxin-related transmembrane protein 2 OS=Homo sapiens GN=TMX2 PE=1 SV=1,NaN,NaN,11.0543,0.38,NaN,NaN,19.2264,0.661,27.4795,0.9447,16.7965,0.5775,4
Q99653,Calcineurin B homologous protein 1 OS=Homo sapiens GN=CHP1 PE=1 SV=3,16.8833,0.3791,NaN,NaN,12.1343,0.2725,NaN,NaN,143.5135,3.2228,32.7286,0.735,4
P05997,Collagen alpha-2(V) chain OS=Homo sapiens GN=COL5A2 PE=1 SV=3,115.4144,16.8366,24.6208,3.5917,NaN,NaN,28.9136,4.2179,NaN,NaN,31.2967,4.5656,4
P11488,Guanine nucleotide-binding protein G(t) subunit alpha-1 OS=Homo sapiens GN=GNAT1 PE=1 SV=5,236.0912,9.561,5.2429,0.2123,NaN,NaN,8.0119,0.3245,124.0345,5.023,NaN,NaN,4
O43252,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1 OS=Homo sapiens GN=PAPSS1 PE=1 SV=2,NaN,NaN,12.2291,0.876,NaN,NaN,29.8446,2.1378,76.9002,5.5085,38.7581,2.7763,4
P13798,Acylamino-acid-releasing enzyme OS=Homo sapiens GN=APEH PE=1 SV=4,41.7031,3.4278,23.3016,1.9153,NaN,NaN,23.6628,1.9449,78.8825,6.4837,NaN,NaN,4
P36543,V-type proton ATPase subunit E 1 OS=Homo sapiens GN=ATP6V1E1 PE=1 SV=1,90.3256,2.3667,13.5474,0.355,NaN,NaN,38.7872,1.0163,NaN,NaN,47.7383,1.2509,4
Q5BJD5,Transmembrane protein 41B OS=Homo sapiens GN=TMEM41B PE=1 SV=1,54.305,1.7749,NaN,NaN,18.8553,0.6163,NaN,NaN,133.959,4.3784,22.2211,0.7263,4
Q9Y2L1,Exosome complex exonuclease RRP44 OS=Homo sapiens GN=DIS3 PE=1 SV=2,57.7631,6.3589,NaN,NaN,6.2274,0.6856,NaN,NaN,69.2642,7.6251,18.3397,2.019,4
O95239,Chromosome-associated kinesin KIF4A OS=Homo sapiens GN=KIF4A PE=1 SV=3,35.1866,4.9781,NaN,NaN,NaN,NaN,114.0517,16.1358,50.9758,7.212,33.0074,4.6698,4
O95674,Phosphatidate cytidylyltransferase 2 OS=Homo sapiens GN=CDS2 PE=1 SV=1,NaN,NaN,12.2133,0.635,NaN,NaN,19.3694,1.007,70.4775,3.664,16.753,0.871,4
Q16630,Cleavage and polyadenylation specificity factor subunit 6 OS=Homo sapiens GN=CPSF6 PE=1 SV=2,20.0622,1.1913,20.4045,1.2116,NaN,NaN,32.1324,1.9081,NaN,NaN,9.1804,0.5451,4
Q9UNN5,FAS-associated factor 1 OS=Homo sapiens GN=FAF1 PE=1 SV=2,31.7233,2.3605,10.1068,0.752,NaN,NaN,12.1676,0.9054,37.6956,2.8049,NaN,NaN,4
Q9NQ29,Putative RNA-binding protein Luc7-like 1 OS=Homo sapiens GN=LUC7L PE=1 SV=1,14.9448,0.6595,NaN,NaN,NaN,NaN,32.3596,1.4279,5.921,0.2613,5.9444,0.2623,4
Q9BVS4,Serine/threonine-protein kinase RIO2 OS=Homo sapiens GN=RIOK2 PE=1 SV=2,21.7903,1.3889,20.9755,1.337,NaN,NaN,18.3012,1.1665,NaN,NaN,8.8329,0.563,4
O15027,Protein transport protein Sec16A OS=Homo sapiens GN=SEC16A PE=1 SV=3,54.7423,12.8644,15.9072,3.7382,NaN,NaN,26.4902,6.2252,NaN,NaN,17.2963,4.0646,4
O15020,Spectrin beta chain_ non-erythrocytic 2 OS=Homo sapiens GN=SPTBN2 PE=1 SV=3,NaN,NaN,29.0658,7.9261,90.1277,24.5773,30.3975,8.2892,NaN,NaN,52.893,14.4236,4
P38435,Vitamin K-dependent gamma-carboxylase OS=Homo sapiens GN=GGCX PE=1 SV=2,108.2322,9.5386,NaN,NaN,14.8362,1.3075,21.0526,1.8554,63.8135,5.624,NaN,NaN,4
Q6P582,Mitotic-spindle organizing protein 2A OS=Homo sapiens GN=MZT2A PE=1 SV=2,25.3087,0.412,10.4909,0.1708,NaN,NaN,NaN,NaN,39.638,0.6452,17.2961,0.2815,4
Q04206,Transcription factor p65 OS=Homo sapiens GN=RELA PE=1 SV=2,99.0023,6.0127,NaN,NaN,34.0591,2.0685,NaN,NaN,177.4933,10.7796,36.3569,2.208,4
Q7Z3J2,UPF0505 protein C16orf62 OS=Homo sapiens GN=C16orf62 PE=1 SV=2,35.6721,3.9572,99.2653,11.0116,NaN,NaN,NaN,NaN,50.9589,5.6529,11.3721,1.2615,4
P0DJD0,RANBP2-like and GRIP domain-containing protein 1 OS=Homo sapiens GN=RGPD1 PE=2 SV=1,NaN,NaN,10.8978,2.1593,NaN,NaN,107.1895,21.2391,15.2365,3.019,1.6266,0.3223,4
Q00653,Nuclear factor NF-kappa-B p100 subunit OS=Homo sapiens GN=NFKB2 PE=1 SV=4,97.0869,9.4595,18.3734,1.7902,7.8809,0.7679,39.3466,3.8337,NaN,NaN,NaN,NaN,4
Q96SB4,SRSF protein kinase 1 OS=Homo sapiens GN=SRPK1 PE=1 SV=2,63.4728,4.761,NaN,NaN,NaN,NaN,92.481,6.9369,46.9228,3.5196,19.7886,1.4843,4
Q96AX2,Ras-related protein Rab-37 OS=Homo sapiens GN=RAB37 PE=1 SV=3,11.0227,0.276,NaN,NaN,2.235,0.056,38.5383,0.9651,NaN,NaN,12.5421,0.3141,4
P24385,G1/S-specific cyclin-D1 OS=Homo sapiens GN=CCND1 PE=1 SV=1,33.7008,1.1617,13.783,0.4751,NaN,NaN,27.097,0.934,NaN,NaN,18.0923,0.6237,4
P43246,DNA mismatch repair protein Msh2 OS=Homo sapiens GN=MSH2 PE=1 SV=1,30.8103,3.25,NaN,NaN,NaN,NaN,22.1892,2.3406,56.1745,5.9255,12.4266,1.3108,4
O60476,Mannosyl-oligosaccharide 1_2-alpha-mannosidase IB OS=Homo sapiens GN=MAN1A2 PE=2 SV=1,NaN,NaN,37.1702,2.722,25.9319,1.899,NaN,NaN,104.1937,7.6303,22.8686,1.6747,4
Q9UHY8,Fasciculation and elongation protein zeta-2 OS=Homo sapiens GN=FEZ2 PE=1 SV=2,47.7598,1.9081,12.2029,0.4875,NaN,NaN,36.0301,1.4395,NaN,NaN,27.4238,1.0956,4
Q8NBL1,Protein O-glucosyltransferase 1 OS=Homo sapiens GN=POGLUT1 PE=1 SV=1,12.266,0.5722,NaN,NaN,21.5872,1.0069,36.7382,1.7137,NaN,NaN,15.4855,0.7223,4
P09769,Tyrosine-protein kinase Fgr OS=Homo sapiens GN=FGR PE=1 SV=2,NaN,NaN,1.7464,0.105,NaN,NaN,7.5565,0.4542,11.9526,0.7184,1.8696,0.1124,4
Q9NTI5,Sister chromatid cohesion protein PDS5 homolog B OS=Homo sapiens GN=PDS5B PE=1 SV=1,40.0798,6.6501,25.2833,4.1951,NaN,NaN,30.9423,5.134,94.0883,15.6113,NaN,NaN,4
P23497,Nuclear autoantigen Sp-100 OS=Homo sapiens GN=SP100 PE=1 SV=3,27.8991,2.8334,8.9975,0.9138,NaN,NaN,14.3435,1.4567,NaN,NaN,11.7368,1.192,4
Q14554,Protein disulfide-isomerase A5 OS=Homo sapiens GN=PDIA5 PE=1 SV=1,31.6807,1.9115,23.2055,1.4001,NaN,NaN,21.1096,1.2737,239.0294,14.422,NaN,NaN,4
Q9H074,Polyadenylate-binding protein-interacting protein 1 OS=Homo sapiens GN=PAIP1 PE=1 SV=1,NaN,NaN,22.8037,1.231,NaN,NaN,12.706,0.6859,80.0274,4.32,6.0148,0.3247,4
Q4G0X4,BTB/POZ domain-containing protein KCTD21 OS=Homo sapiens GN=KCTD21 PE=2 SV=1,26.0516,0.7782,NaN,NaN,6.3972,0.1911,NaN,NaN,51.2025,1.5295,14.1753,0.4234,4
Q9GZZ9,Ubiquitin-like modifier-activating enzyme 5 OS=Homo sapiens GN=UBA5 PE=1 SV=1,48.6304,2.2039,NaN,NaN,NaN,NaN,35.0892,1.5902,83.7032,3.7934,11.5005,0.5212,4
Q99700,Ataxin-2 OS=Homo sapiens GN=ATXN2 PE=1 SV=2,104.1346,14.6736,NaN,NaN,NaN,NaN,50.3387,7.0932,143.5566,20.2286,22.2249,3.1317,4
Q05209,Tyrosine-protein phosphatase non-receptor type 12 OS=Homo sapiens GN=PTPN12 PE=1 SV=3,76.5351,6.8087,11.3422,1.009,NaN,NaN,22.9547,2.0421,NaN,NaN,17.8415,1.5872,4
Q53FA7,Quinone oxidoreductase PIG3 OS=Homo sapiens GN=TP53I3 PE=1 SV=2,NaN,NaN,NaN,NaN,21.4775,0.7669,39.3783,1.4061,26.0365,0.9297,17.0508,0.6088,4
P15153,Ras-related C3 botulinum toxin substrate 2 OS=Homo sapiens GN=RAC2 PE=1 SV=1,20.9706,0.4577,11.275,0.2461,NaN,NaN,28.6982,0.6264,38.0812,0.8312,NaN,NaN,4
Q04727,Transducin-like enhancer protein 4 OS=Homo sapiens GN=TLE4 PE=1 SV=3,22.6166,1.9162,17.0455,1.4442,9.9083,0.8395,NaN,NaN,81.9621,6.9442,NaN,NaN,4
P81605,Dermcidin OS=Homo sapiens GN=DCD PE=1 SV=2,78.2477,0.8919,62.1594,0.7085,121.4823,1.3846,42.6457,0.4861,NaN,NaN,NaN,NaN,4
Q9P0U1,Mitochondrial import receptor subunit TOM7 homolog OS=Homo sapiens GN=TOMM7 PE=1 SV=1,50.9192,0.3182,NaN,NaN,NaN,NaN,16.6743,0.1042,86.4908,0.5404,18.086,0.113,4
P20338,Ras-related protein Rab-4A OS=Homo sapiens GN=RAB4A PE=1 SV=2,23.8257,0.5755,NaN,NaN,10.8184,0.2613,NaN,NaN,119.7101,2.8917,6.4986,0.157,4
Q9BRJ7,Protein syndesmos OS=Homo sapiens GN=NUDT16L1 PE=1 SV=1,51.0575,1.2003,NaN,NaN,20.3537,0.4785,23.6597,0.5562,101.9762,2.3974,NaN,NaN,4
Q9NVN3,Synembryn-B OS=Homo sapiens GN=RIC8B PE=1 SV=2,43.1076,2.5702,13.4467,0.8017,NaN,NaN,NaN,NaN,8.8596,0.5282,6.5943,0.3932,4
Q5TZF3,Ankyrin repeat domain-containing protein 45 OS=Homo sapiens GN=ANKRD45 PE=2 SV=1,112.645,3.6153,10.739,0.3447,NaN,NaN,34.8061,1.1171,382.7381,12.2839,NaN,NaN,4
Q15555,Microtubule-associated protein RP/EB family member 2 OS=Homo sapiens GN=MAPRE2 PE=1 SV=1,13.8798,0.5172,10.1718,0.379,NaN,NaN,NaN,NaN,48.0469,1.7902,8.2648,0.3079,4
Q9UBY9,Heat shock protein beta-7 OS=Homo sapiens GN=HSPB7 PE=1 SV=1,84.6446,1.5801,12.8914,0.2407,NaN,NaN,NaN,NaN,221.8398,4.1412,17.401,0.3248,4
Q06546,GA-binding protein alpha chain OS=Homo sapiens GN=GABPA PE=1 SV=1,63.4256,3.286,13.5545,0.7022,NaN,NaN,22.6666,1.1743,NaN,NaN,17.7795,0.9211,4
O15160,DNA-directed RNA polymerases I and III subunit RPAC1 OS=Homo sapiens GN=POLR1C PE=1 SV=1,36.8839,1.4561,13.848,0.5467,NaN,NaN,22.6235,0.8931,73.0937,2.8856,NaN,NaN,4
Q8WWC4,Uncharacterized protein C2orf47_ mitochondrial OS=Homo sapiens GN=C2orf47 PE=1 SV=1,46.5521,1.5336,9.2361,0.3043,NaN,NaN,5.4786,0.1805,36.8135,1.2128,NaN,NaN,4
Q8NHH9,Atlastin-2 OS=Homo sapiens GN=ATL2 PE=1 SV=2,20.5544,1.3742,NaN,NaN,NaN,NaN,13.1723,0.8807,32.566,2.1773,9.554,0.6388,4
Q04941,Proteolipid protein 2 OS=Homo sapiens GN=PLP2 PE=1 SV=1,NaN,NaN,114.6974,1.9536,185.8028,3.1648,57.4035,0.9778,NaN,NaN,43.6408,0.7433,4
P52294,Importin subunit alpha-1 OS=Homo sapiens GN=KPNA1 PE=1 SV=3,9.0261,0.5503,1.0053,0.0613,NaN,NaN,NaN,NaN,50.6379,3.087,22.9226,1.3974,4
Q9H832,Ubiquitin-conjugating enzyme E2 Z OS=Homo sapiens GN=UBE2Z PE=1 SV=2,54.2526,2.0978,36.1942,1.3995,56.9021,2.2002,30.3529,1.1736,NaN,NaN,NaN,NaN,4
Q96TA2,ATP-dependent zinc metalloprotease YME1L1 OS=Homo sapiens GN=YME1L1 PE=1 SV=2,67.9169,5.8912,30.5769,2.6523,NaN,NaN,56.2394,4.8782,NaN,NaN,63.6343,5.5197,4
Q9UKN8,General transcription factor 3C polypeptide 4 OS=Homo sapiens GN=GTF3C4 PE=1 SV=2,113.2752,10.5679,204.051,19.0368,NaN,NaN,120.4925,11.2412,NaN,NaN,94.1331,8.7821,4
Q09328,Alpha-1_6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A OS=Homo sapiens GN=MGAT5 PE=1 SV=1,34.7776,2.9799,18.6515,1.5981,NaN,NaN,26.6613,2.2844,59.0436,5.059,NaN,NaN,4
P83111,Serine beta-lactamase-like protein LACTB_ mitochondrial OS=Homo sapiens GN=LACTB PE=1 SV=2,43.3798,2.6527,9.5439,0.5836,15.7575,0.9636,64.3233,3.9334,NaN,NaN,NaN,NaN,4
A6NL28,Putative tropomyosin alpha-3 chain-like protein OS=Homo sapiens PE=5 SV=2,NaN,NaN,30.8581,0.8212,39.1876,1.0428,49.9833,1.3301,207.9886,5.5349,NaN,NaN,4
Q8WZ82,Ovarian cancer-associated gene 2 protein OS=Homo sapiens GN=OVCA2 PE=1 SV=1,37.9637,0.94,15.6197,0.3867,NaN,NaN,NaN,NaN,56.3243,1.3946,32.6126,0.8075,4
P09486,SPARC OS=Homo sapiens GN=SPARC PE=1 SV=1,30.0938,1.068,18.6746,0.6627,50.5688,1.7946,NaN,NaN,NaN,NaN,13.4364,0.4768,4
O43264,Centromere/kinetochore protein zw10 homolog OS=Homo sapiens GN=ZW10 PE=1 SV=3,102.9295,9.2312,46.7607,4.1937,NaN,NaN,39.7887,3.5685,NaN,NaN,36.5778,3.2805,4
Q14696,LDLR chaperone MESD OS=Homo sapiens GN=MESDC2 PE=1 SV=2,52.8048,1.386,19.7869,0.5194,NaN,NaN,NaN,NaN,88.4132,2.3206,26.2721,0.6896,4
P52701,DNA mismatch repair protein Msh6 OS=Homo sapiens GN=MSH6 PE=1 SV=2,43.8874,6.7855,NaN,NaN,NaN,NaN,21.2145,3.28,76.9094,11.891,13.3271,2.0605,4
Q14161,ARF GTPase-activating protein GIT2 OS=Homo sapiens GN=GIT2 PE=1 SV=2,42.9365,3.6569,51.6363,4.3979,NaN,NaN,40.428,3.4433,45.5589,3.8803,NaN,NaN,4
Q8NDI1,EH domain-binding protein 1 OS=Homo sapiens GN=EHBP1 PE=1 SV=3,82.5779,11.6141,49.5493,6.9689,NaN,NaN,NaN,NaN,185.5365,26.0947,50.6941,7.1299,4
O14874,[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase_ mitochondrial OS=Homo sapiens GN=BCKDK PE=1 SV=2,21.5234,1.004,24.1445,1.1262,9.244,0.4312,NaN,NaN,237.737,11.0894,NaN,NaN,4
Q8IXI1,Mitochondrial Rho GTPase 2 OS=Homo sapiens GN=RHOT2 PE=1 SV=2,33.1203,2.2901,14.2668,0.9865,NaN,NaN,NaN,NaN,135.1339,9.3437,8.4429,0.5838,4
Q53H82,Beta-lactamase-like protein 2 OS=Homo sapiens GN=LACTB2 PE=1 SV=2,NaN,NaN,26.3259,0.8711,NaN,NaN,27.4175,0.9073,60.2837,1.9948,8.2405,0.2727,4
Q96A49,Synapse-associated protein 1 OS=Homo sapiens GN=SYAP1 PE=1 SV=1,37.4423,1.4973,10.6734,0.4268,NaN,NaN,23.2273,0.9289,NaN,NaN,18.3517,0.7339,4
O14656,Torsin-1A OS=Homo sapiens GN=TOR1A PE=1 SV=1,49.3025,1.8809,19.5841,0.7472,NaN,NaN,25.3756,0.9681,91.187,3.4789,NaN,NaN,4
P49756,RNA-binding protein 25 OS=Homo sapiens GN=RBM25 PE=1 SV=3,NaN,NaN,15.1825,1.5263,32.7333,3.2906,NaN,NaN,75.4157,7.5814,8.849,0.8896,4
P41567,Eukaryotic translation initiation factor 1 OS=Homo sapiens GN=EIF1 PE=1 SV=1,74.2851,0.9543,NaN,NaN,NaN,NaN,16.1723,0.2078,96.8467,1.2441,17.2998,0.2222,4
P50750,Cyclin-dependent kinase 9 OS=Homo sapiens GN=CDK9 PE=1 SV=3,11.8736,0.5127,9.4648,0.4087,NaN,NaN,NaN,NaN,50.1998,2.1675,7.2578,0.3134,4
Q16610,Extracellular matrix protein 1 OS=Homo sapiens GN=ECM1 PE=1 SV=2,42.2985,2.634,NaN,NaN,11.7187,0.7297,NaN,NaN,44.8413,2.7923,11.961,0.7448,4
Q7Z2Z2,Elongation factor Tu GTP-binding domain-containing protein 1 OS=Homo sapiens GN=EFTUD1 PE=1 SV=2,23.1688,2.9364,13.6283,1.7273,NaN,NaN,27.9769,3.5458,72.7833,9.2247,NaN,NaN,4
Q9HA64,Ketosamine-3-kinase OS=Homo sapiens GN=FN3KRP PE=1 SV=2,NaN,NaN,22.5997,0.7829,NaN,NaN,17.3551,0.6012,161.3271,5.5884,6.5351,0.2264,4
P16402,Histone H1.3 OS=Homo sapiens GN=HIST1H1D PE=1 SV=2,NaN,NaN,184.6281,4.1264,NaN,NaN,76.1993,1.703,312.5187,6.9848,71.6288,1.6009,4
Q9UKE5,TRAF2 and NCK-interacting protein kinase OS=Homo sapiens GN=TNIK PE=1 SV=1,19.5059,3.0323,8.7917,1.3667,NaN,NaN,13.4505,2.091,70.0621,10.8916,NaN,NaN,4
P51398,28S ribosomal protein S29_ mitochondrial OS=Homo sapiens GN=DAP3 PE=1 SV=1,53.432,2.453,11.7513,0.5395,NaN,NaN,13.1834,0.6052,63.3325,2.9075,NaN,NaN,4
Q08AF3,Schlafen family member 5 OS=Homo sapiens GN=SLFN5 PE=1 SV=1,33.3718,3.4238,13.4805,1.383,NaN,NaN,16.0158,1.6431,72.9032,7.4795,NaN,NaN,4
P34059,N-acetylgalactosamine-6-sulfatase OS=Homo sapiens GN=GALNS PE=1 SV=1,27.3111,1.5972,13.3523,0.7809,NaN,NaN,30.447,1.7806,94.4018,5.5208,NaN,NaN,4
A8MWD9,Small nuclear ribonucleoprotein G-like protein OS=Homo sapiens PE=3 SV=2,NaN,NaN,7.6778,0.066,47.6851,0.4101,10.1913,0.0877,NaN,NaN,8.8358,0.076,4
Q5XKP0,Protein QIL1 OS=Homo sapiens GN=QIL1 PE=1 SV=1,75.4211,0.9914,67.814,0.8914,NaN,NaN,38.9213,0.5116,125.5409,1.6501,NaN,NaN,4
Q9H0R5,Guanylate-binding protein 3 OS=Homo sapiens GN=GBP3 PE=2 SV=3,13.6623,0.9392,NaN,NaN,NaN,NaN,10.6171,0.7298,19.1545,1.3167,5.8099,0.3994,4
Q8N6H7,ADP-ribosylation factor GTPase-activating protein 2 OS=Homo sapiens GN=ARFGAP2 PE=1 SV=1,61.9792,3.5367,NaN,NaN,NaN,NaN,33.797,1.9285,125.2511,7.1472,19.9952,1.141,4
Q8NBN3,Transmembrane protein 87A OS=Homo sapiens GN=TMEM87A PE=1 SV=3,31.1475,1.9881,NaN,NaN,NaN,NaN,43.6943,2.789,122.6511,7.8287,25.1295,1.604,4
P51451,Tyrosine-protein kinase Blk OS=Homo sapiens GN=BLK PE=1 SV=3,NaN,NaN,1.6223,0.0944,NaN,NaN,8.7005,0.506,13.6814,0.7957,3.4026,0.1979,4
Q96P48,Arf-GAP with Rho-GAP domain_ ANK repeat and PH domain-containing protein 1 OS=Homo sapiens GN=ARAP1 PE=1 SV=3,98.3669,16.117,33.2946,5.4552,16.0837,2.6352,NaN,NaN,99.204,16.2541,NaN,NaN,4
P22455,Fibroblast growth factor receptor 4 OS=Homo sapiens GN=FGFR4 PE=1 SV=2,NaN,NaN,6.1543,0.5469,NaN,NaN,10.0619,0.8942,72.1077,6.408,17.8966,1.5904,4
Q02224,Centromere-associated protein E OS=Homo sapiens GN=CENPE PE=1 SV=2,155.2221,49.3272,NaN,NaN,53.6643,17.0537,54.6019,17.3516,303.0842,96.3154,NaN,NaN,4
P42330,Aldo-keto reductase family 1 member C3 OS=Homo sapiens GN=AKR1C3 PE=1 SV=4,159.266,5.9331,NaN,NaN,107.4076,4.0012,29.5564,1.101,615.7555,22.9384,NaN,NaN,4
